Event-Name,Event-Location,Event-Date,Event-Image,Event-Time,Event-Details
Word Plays: Inside Out,Proctors Theatre,"Feb 24, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11753
Roald Dahl’s Charlie and the Chocolate Factory,MainStage at Proctors,"Feb 26 - Mar 03, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11274
Friend of a Friend SD,GE Theatre at Proctors,"Feb 26 - Feb 27, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11131
The Irish Comedy Tour,GE Theatre at Proctors,"Mar 01, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11450
Burlesque W/Live Post-Film Performance!,GE Theatre at Proctors,"Mar 05, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11801
Storm Large & Le Bonheur,GE Theatre at Proctors,"Mar 07, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11451
Thruway: A Sing Off,MainStage at Proctors,"Mar 08, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11814
John McCutcheon,GE Theatre at Proctors,"Mar 08, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11313
11th Annual Capital Region Wine Festival,Proctors Theatre,"Mar 09, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11639
Currents by Mayumana,MainStage at Proctors,"Mar 10, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11444
Currents by Mayumana SD,MainStage at Proctors,"Mar 11, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11342
Film: Bolshoi Ballet ENCORE: Sleeping Beauty,GE Theatre at Proctors,"Mar 12, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11344
Bobby Collins,GE Theatre at Proctors,"Mar 14, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11751
National Geographic Live! Brian Skerry,MainStage at Proctors,"Mar 14, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11366
Winston Churchill: The Blitz SD,GE Theatre at Proctors,"Mar 15, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11345
